Social.Category,Source,gender.main,gender_norm.main,gender.ext,gender_norm.ext,gender.red,gender_norm.red,age.main,age_norm.main,age.ext,age_norm.ext,age.red,age_norm.red
advisor,GPT2,-0.26146057,0.374210759,-0.002566422,0.491504165,-0.17203423,0.363820185,-0.094299056,0.229216073,-0.018972926,0.224951886,-0.05946601,0.383473507
advocate,GPT2,-0.29638183,0.283798306,-0.011176335,0.418902523,-0.19687828,0.286692297,-0.10236824,0.186221162,-0.021944582,0.205120727,-0.06326987,0.349459348
advocator,GPT2,-0.26250952,0.371494988,-0.010198714,0.427146148,-0.16042295,0.399867187,-0.090087384,0.251657062,-0.015194301,0.250168302,-0.062904134,0.352729763
aerialist,GPT2,-0.25517783,0.390477008,-0.002401187,0.492897484,-0.16744618,0.3780637,-0.09757583,0.211756488,-0.021732338,0.206537124,-0.06986201,0.290512357
aeronaut,GPT2,-0.25204366,0.398591492,-0.015376918,0.383481815,-0.15605462,0.413428585,-0.090483174,0.24954818,-0.014608759,0.254075883,-0.06889266,0.299180296
aeronautical engineer,GPT2,-0.2106049,0.505877997,-0.004335434,0.476587269,-0.116446145,0.536392355,-0.0678863,0.369950764,-0.000681995,0.347015266,-0.054698713,0.426102731
aerospace engineer,GPT2,-0.22641793,0.464937469,-0.006332055,0.459751098,-0.12918344,0.496849661,-0.07205615,0.347732615,-0.00167652,0.340378361,-0.05754536,0.400647981
aesthete,GPT2,-0.25960326,0.379019404,-0.015031176,0.386397226,-0.15966916,0.402207314,-0.09811053,0.208907454,-0.017949425,0.231782156,-0.07850457,0.213230487
aesthetician,GPT2,-0.1936367,0.549809303,0.003429568,0.542064344,-0.10155691,0.582615706,-0.06986158,0.359425909,-0.001953811,0.338527882,-0.059206948,0.385790042
aetiologist,GPT2,-0.20828931,0.511873146,-0.007291767,0.451658489,-0.11501309,0.540841247,-0.075223856,0.330854175,-0.007515986,0.301409058,-0.06069004,0.372528217
air force officer,GPT2,-0.17387097,0.60098352,0.006893643,0.571274569,-0.089490004,0.62007719,-0.053564943,0.446259035,0.006754196,0.396640217,-0.042358138,0.536452293
air hostess,GPT2,-0.2136187,0.498075155,0.00922782,0.590957124,-0.122729644,0.51688535,-0.07827281,0.314608479,-0.010998709,0.278167321,-0.056850445,0.406861919
air marshal,GPT2,-0.2198076,0.482051861,-0.003133945,0.486718625,-0.13053438,0.492655693,-0.077115834,0.320773177,-0.006233408,0.309968258,-0.059935175,0.379278228
air traveler,GPT2,-0.18662323,0.56796744,0.003778634,0.545007784,-0.098709755,0.591454646,-0.057512265,0.425226579,0.005754295,0.389967441,-0.045360036,0.509609287
aircraftsman,GPT2,-0.23799698,0.434958874,-0.01030097,0.426283891,-0.1407875,0.460825074,-0.078744836,0.31209339,-0.002738522,0.333291159,-0.06304453,0.351474341
aircrewman,GPT2,-0.26737285,0.358903644,-0.010656274,0.42328785,-0.17126034,0.366222712,-0.09102623,0.246654623,-0.011574534,0.27432459,-0.06478748,0.335888862
airhead,GPT2,-0.24887006,0.406808062,-0.008340018,0.442819289,-0.15486549,0.417120217,-0.08973908,0.253512925,-0.011842068,0.272539218,-0.06880051,0.300004302
